id_symbol_primary,id_protein_name,id_geneID,chromosome,start,end,strand
GCM2,glial cells missing transcription factor 2,9247,6,10873223,10882041,-
SYCP2L,synaptonemal complex protein 2 like,221711,6,10887052,10974309,+
ELOVL2,ELOVL fatty acid elongase 2,54898,6,10980759,11044305,-
SMIM13,small integral membrane protein 13,221710,6,11093834,11138733,+
ERVFRD-1,endogenous retrovirus group FRD member 1-2C envelope,405754,6,11102489,11111725,-
NEDD9,neural precursor cell expressed-2C developmentally down-regulated 9,4739,6,11183298,11382348,-
TMEM170B,transmembrane protein 170B,100113407,6,11537749,11583524,+
ADTRP,androgen dependent TFPI regulating protein,84830,6,11713523,11779628,-
HIVEP1,HIVEP zinc finger 1,3096,6,12002096,12212034,+
EDN1,endothelin 1,1906,6,12256463,12297194,+
PHACTR1,phosphatase and actin regulator 1,221692,6,12716635,13290462,+
TBC1D7,TBC1 domain family member 7,51256,6,13304951,13328537,-
GFOD1,glucose-fructose oxidoreductase domain containing 1,54438,6,13357830,13487600,-
SIRT5,sirtuin 5,23408,6,13574217,13615158,+
NOL7,nucleolar protein 7,51406,6,13615335,13632470,+
RANBP9,RAN binding protein 9,10048,6,13621498,13711835,-
MCUR1,mitochondrial calcium uniporter regulator 1,63933,6,13786557,13814994,-
RNF182,ring finger protein 182,221687,6,13924446,13980310,+
CD83,CD83 molecule,9308,6,14117256,14136918,+
JARID2,jumonji and AT-rich interaction domain containing 2,3720,6,15245975,15522042,+
DTNBP1,dystrobrevin binding protein 1,84062,6,15522803,15663058,-
MYLIP,myosin regulatory light chain interacting protein,29116,6,16129086,16151015,+
GMPR,guanosine monophosphate reductase,2766,6,16238587,16295549,+
ATXN1,ataxin 1,6310,6,16299112,16761490,-
STMND1,stathmin domain containing 1,401236,6,17102050,17131378,+
RBM24,RNA binding motif protein 24,221662,6,17281361,17293875,+
CAP2,cyclase associated actin cytoskeleton regulatory protein 2,10486,6,17393595,17557780,+
FAM8A1,family with sequence similarity 8 member A1,51439,6,17600302,17611715,+
NUP153,nucleoporin 153,9972,6,17615036,17706925,-
KIF13A,kinesin family member 13A,63971,6,17759126,17987635,-
NHLRC1,NHL repeat containing E3 ubiquitin protein ligase 1,378884,6,18120440,18122677,-
TPMT,thiopurine S-methyltransferase,7172,6,18128311,18155169,-
KDM1B,lysine demethylase 1B,221656,6,18155388,18223854,+
DEK,DEK proto-oncogene,7913,6,18223860,18264541,-
RNF144B,ring finger protein 144B,255488,6,18387329,18468870,+
ID4,inhibitor of DNA binding 4-2C HLH protein,3400,6,19837370,19842197,+
MBOAT1,membrane bound O-acyltransferase domain containing 1,154141,6,20099684,20212469,-
E2F3,E2F transcription factor 3,1871,6,20401879,20493714,+
CDKAL1,CDK5 regulatory subunit associated protein 1 like 1,54901,6,20534457,21232404,+
SOX4,SRY-box transcription factor 4,6659,6,21593751,21598619,+
PRL,prolactin,5617,6,22287246,22302897,-
HDGFL1,HDGF like 1,154150,6,22569566,22571666,+
NRSN1,neurensin 1,140767,6,24126215,24147530,+
DCDC2,doublecortin domain containing 2,51473,6,24171755,24383292,-
KAAG1,kidney associated antigen 1,353219,6,24356903,24358285,+
MRS2,magnesium transporter MRS2,57380,6,24402936,24426190,+
GPLD1,glycosylphosphatidylinositol specific phospholipase D1,2822,6,24423969,24495232,-
ALDH5A1,aldehyde dehydrogenase 5 family member A1,7915,6,24494969,24537207,+
KIAA0319,KIAA0319,9856,6,24540128,24646191,-
TDP2,tyrosyl-DNA phosphodiesterase 2,51567,6,24649979,24666899,-
ACOT13,acyl-CoA thioesterase 13,55856,6,24667077,24705046,+
GMNN,geminin DNA replication inhibitor,51053,6,24774937,24786099,+
ARMH2,armadillo like helical domain containing 2,101928603,6,24797335,24798917,-
RIPOR2,RHO family interacting cell polarization regulator 2,9750,6,24804284,25042288,-
CARMIL1,capping protein regulator and myosin 1 linker 1,55604,6,25279374,25620530,+
SCGN,secretagogin-2C EF-hand calcium binding protein,10590,6,25652215,25701783,+
SLC17A1,solute carrier family 17 member 1,6568,6,25723743,25832108,-
H2AC1,H2A clustered histone 1,221613,6,25726063,25726562,-
H2BC1,H2B clustered histone 1,255626,6,25726777,25727345,+
SLC17A4,solute carrier family 17 member 4,10050,6,25754673,25781199,+
SLC17A3,solute carrier family 17 member 3,10786,6,25844856,25874243,-
SLC17A2,solute carrier family 17 member 2,10246,6,25912754,25930727,-
TRIM38,tripartite motif containing 38,10475,6,25962723,25991231,+
H1-1,H1.1 linker histone-2C cluster member,3024,6,26017032,26017787,-
H3C1,H3 clustered histone 1,8350,6,26020451,26020958,+
H4C1,H4 clustered histone 1,8359,6,26021649,26022050,+
H4C2,H4 clustered histone 2,8366,6,26026896,26027283,-
H3C2,H3 clustered histone 2,8358,6,26031589,26032099,-
H2AC4,H2A clustered histone 4,8335,6,26033092,26033618,-
H2BC3,H2B clustered histone 3,3018,6,26043227,26043713,-
H3C3,H3 clustered histone 3,8352,6,26045384,26045869,+
H1-2,H1.2 linker histone-2C cluster member,3006,6,26055740,26056470,-
HFE,homeostatic iron regulator,3077,6,26087347,26098343,+
H4C3,H4 clustered histone 3,8364,6,26103933,26104337,+
H1-6,H1.6 linker histone-2C cluster member,3010,6,26107412,26108135,-
H2BC4,H2B clustered histone 4,8347,6,26113170,26123926,-
H2AC6,H2A clustered histone 6,8334,6,26124172,26124690,+
H1-4,H1.4 linker histone-2C cluster member,3008,6,26156329,26157115,+
H2BC5,H2B clustered histone 5,3017,6,26158008,26171349,+
H2BC6,H2B clustered histone 6,8344,6,26183761,26184230,+
H4C4,H4 clustered histone 4,8360,6,26188710,26189112,-
H3C4,H3 clustered histone 4,8351,6,26196784,26199293,-
H2AC7,H2A clustered histone 7,3013,6,26198784,26199293,-
H2BC7,H2B clustered histone 7,8343,6,26199516,26199988,+
H4C5,H4 clustered histone 5,8367,6,26204610,26205021,+
H2BC8,H2B clustered histone 8,8339,6,26216200,26216688,-
H2AC8,H2A clustered histone 8,3012,6,26216921,26217437,+
H3C6,H3 clustered histone 6,8353,6,26224178,26227473,+
H1-3,H1.3 linker histone-2C cluster member,3007,6,26234212,26234987,-
H4C6,H4 clustered histone 6,8361,6,26240393,26240793,+
H4C7,H4 clustered histone 7,8369,6,26246611,26246996,-
H3C7,H3 clustered histone 7,8968,6,26250142,26250635,-
H2BC9,H2B clustered histone 9,8345,6,26251614,26252075,+
H3C8,H3 clustered histone 8,8355,6,26270918,26271413,-
H2BC10,H2B clustered histone 10,8346,6,26272931,26273412,+
H4C8,H4 clustered histone 8,8365,6,26285126,26285534,-
BTN3A2,butyrophilin subfamily 3 member A2,11118,6,26365170,26378320,+
BTN2A2,butyrophilin subfamily 2 member A2,10385,6,26382893,26394874,+
BTN3A1,butyrophilin subfamily 3 member A1,11119,6,26402269,26415216,+
BTN3A3,butyrophilin subfamily 3 member A3,10384,6,26440504,26453415,+
BTN2A1,butyrophilin subfamily 2 member A1,11120,6,26457955,26476622,+
BTN1A1,butyrophilin subfamily 1 member A1,696,6,26500303,26510425,+
HMGN4,high mobility group nucleosomal binding domain 4,10473,6,26538347,26546933,+
ABT1,activator of basal transcription 1,29777,6,26596953,26600739,+
ZNF322,zinc finger protein 322,79692,6,26634383,26659746,-
H2BC11,H2B clustered histone 11,8970,6,27132316,27132795,-
H2AC11,H2A clustered histone 11,8969,6,27133043,27133535,+
H2BC12,H2B clustered histone 12,85236,6,27138293,27146858,-
H4C9,H4 clustered histone 9,8294,6,27139282,27139678,+
H2AC12,H2A clustered histone 12,85235,6,27147106,27147562,+
PRSS16,serine protease 16,10279,6,27247701,27256620,+
POM121L2,POM121 transmembrane nucleoporin like 2,94026,6,27308377,27312273,-
ZNF391,zinc finger protein 391,346157,6,27374615,27403908,+
ZNF184,zinc finger protein 184,7738,6,27404006,27473105,-
H2BC13,H2B clustered histone 13,8340,6,27807479,27807929,-
H2AC13,H2A clustered histone 13,8329,6,27808173,27808667,+
H3C10,H3 clustered histone 10,8357,6,27810051,27810536,+
H2AC14,H2A clustered histone 14,8331,6,27814302,27814777,-
H2BC14,H2B clustered histone 14,8342,6,27815022,27815489,+
H4C11,H4 clustered histone 11,8363,6,27824092,27824480,+
H4C12,H4 clustered histone 12,8362,6,27831174,27831560,-
H2AC15,H2A clustered histone 15,8330,6,27837880,27838375,-
H2BC15,H2B clustered histone 15,8341,6,27838569,27839110,+
H2AC16,H2A clustered histone 16,8332,6,27865317,27865798,+
H1-5,H1.5 linker histone-2C cluster member,3009,6,27866792,27867588,-
H3C11,H3 clustered histone 11,8354,6,27871845,27872346,-
H4C13,H4 clustered histone 13,8368,6,27873148,27873534,-
H3C12,H3 clustered histone 12,8356,6,27890315,27890826,-
H2AC17,H2A clustered histone 17,8336,6,27892699,27893185,-
H2BC17,H2B clustered histone 17,8348,6,27893425,27893891,+
OR2B2,olfactory receptor family 2 subfamily B member 2,81697,6,27911185,27912396,-
OR2B6,olfactory receptor family 2 subfamily B member 6,26212,6,27957241,27958182,+
OR2B8P,olfactory receptor family 2 subfamily B member 8 pseudogene,65944,6,28053228,28054202,-
ZNF165,zinc finger protein 165,7718,6,28080282,28104244,+
ZSCAN16,zinc finger and SCAN domain containing 16,80345,6,28123753,28130082,+
ZKSCAN8,zinc finger with KRAB and SCAN domains 8,7745,6,28141643,28159461,+
ZSCAN9,zinc finger and SCAN domain containing 9,7746,6,28224702,28233487,+
ZKSCAN4,zinc finger with KRAB and SCAN domains 4,387032,6,28241697,28259258,-
NKAPL,NFKB activating protein like,222698,6,28259297,28260958,+
ZSCAN26,zinc finger and SCAN domain containing 26,7741,6,28267050,28278218,+
PGBD1,piggyBac transposable element derived 1,84547,6,28281564,28303681,+
ZSCAN31,zinc finger and SCAN domain containing 31,64288,6,28324737,28359157,-
ZKSCAN3,zinc finger with KRAB and SCAN domains 3,80317,6,28349913,28369174,+
ZSCAN12,zinc finger and SCAN domain containing 12,9753,6,28378821,28399768,-
ZSCAN23,zinc finger and SCAN domain containing 23,222696,6,28425516,28443554,-
GPX6,glutathione peroxidase 6,257202,6,28503296,28515793,-
GPX5,glutathione peroxidase 5,2880,6,28525881,28534955,+
ZBED9,zinc finger BED-type containing 9,114821,6,28568288,28616202,-
TRIM27,tripartite motif containing 27,5987,6,28903002,28923985,-
ZNF311,zinc finger protein 311,282890,6,28994785,29005668,-
OR2W1,olfactory receptor family 2 subfamily W member 1,26692,6,29044213,29045175,-
OR2B3,olfactory receptor family 2 subfamily B member 3,442184,6,29086208,29087313,-
OR2J1,olfactory receptor family 2 subfamily J member 1,442185,6,29099490,29102701,+
OR2J3,olfactory receptor family 2 subfamily J member 3,442186,6,29108058,29114770,+
OR2J2,olfactory receptor family 2 subfamily J member 2,26707,6,29170907,29175811,+
OR14J1,olfactory receptor family 14 subfamily J member 1,442191,6,29301701,29313017,+
OR5V1,olfactory receptor family 5 subfamily V member 1,81696,6,29353749,29455207,-
OR12D3,olfactory receptor family 12 subfamily D member 3,81797,6,29373423,29375291,-
OR12D2,olfactory receptor family 12 subfamily D member 2,26529,6,29395631,29398008,+
OR11A1,olfactory receptor family 11 subfamily A member 1,26531,6,29425504,29457071,-
OR10C1,olfactory receptor family 10 subfamily C member 1,442194,6,29439306,29440977,+
OR2H1,olfactory receptor family 2 subfamily H member 1,26716,6,29457133,29464328,+
MAS1L,MAS1 proto-oncogene like-2C G protein-coupled receptor,116511,6,29486697,29487956,-
OR2I1P,olfactory receptor family 2 subfamily I member 1 pseudogene,442197,6,29550407,29557773,+
UBD,ubiquitin D,10537,6,29555515,29559732,-
OR2H2,olfactory receptor family 2 subfamily H member 2,7932,6,29585121,29592506,+
GABBR1,gamma-aminobutyric acid type B receptor subunit 1,2550,6,29602230,29633183,-
MOG,myelin oligodendrocyte glycoprotein,4340,6,29657092,29672365,+
ZFP57,ZFP57 zinc finger protein,346171,6,29672392,29681152,-
HLA-F,major histocompatibility complex-2C class I-2C F,3134,6,29723434,29740355,+
HLA-G,major histocompatibility complex-2C class I-2C G,3135,6,29826474,29831130,+
HLA-A,major histocompatibility complex-2C class I-2C A,3105,6,29942532,29945870,+
POLR1H,RNA polymerase I subunit H,30834,6,30061265,30064907,+
PPP1R11,protein phosphatase 1 regulatory inhibitor subunit 11,6992,6,30066864,30070333,+
RNF39,ring finger protein 39,80352,6,30070266,30080625,-
TRIM31,tripartite motif containing 31,11074,6,30102892,30113090,-
TRIM40,tripartite motif containing 40,135644,6,30135998,30148773,+
TRIM10,tripartite motif containing 10,10107,6,30151939,30163216,-
TRIM15,tripartite motif containing 15,89870,6,30163546,30172693,+
TRIM26,tripartite motif containing 26,7726,6,30184453,30213435,-
TRIM39,tripartite motif containing 39,56658,6,30326469,30343729,+
TRIM39-RPP21,TRIM39-RPP21 readthrough,202658,6,30329311,30346858,+
RPP21,ribonuclease P/MRP subunit p21,79897,6,30345156,30346857,+
HLA-E,major histocompatibility complex-2C class I-2C E,3133,6,30489508,30494194,+
GNL1,G protein nucleolar 1 (putative),2794,6,30541381,30557199,-
PRR3,proline rich 3,80742,6,30556709,30563723,+
ABCF1,ATP binding cassette subfamily F member 1,23,6,30571442,30591522,+
PPP1R10,protein phosphatase 1 regulatory subunit 10,5514,6,30600400,30618607,-
MRPS18B,mitochondrial ribosomal protein S18B,28973,6,30617320,30626393,+
ATAT1,alpha tubulin acetyltransferase 1,79969,6,30626874,30646821,+
DHX16,DEAH-box helicase 16,8449,6,30653127,30673006,-
PPP1R18,protein phosphatase 1 regulatory subunit 18,170954,6,30676389,30687207,-
NRM,nurim,11270,6,30688047,30691420,-
MDC1,mediator of DNA damage checkpoint 1,9656,6,30699807,30717988,-
TUBB,tubulin beta class I,203068,6,30720352,30725422,+
FLOT1,flotillin 1,10211,6,30727709,30742847,-
IER3,immediate early response 3,8870,6,30743199,30744547,-
DDR1,discoidin domain receptor tyrosine kinase 1,780,6,30880958,30900156,+
GTF2H4,general transcription factor IIH subunit 4,2968,6,30908207,30914106,+
VARS2,valyl-tRNA synthetase 2-2C mitochondrial,57176,6,30914238,30926459,+
SFTA2,surfactant associated 2,389376,6,30931353,30932170,-
MUCL3,mucin like 3,135656,6,30940973,30954221,+
MUC21,mucin 21-2C cell surface associated,394263,6,30983718,30989903,+
MUC22,mucin 22,100507679,6,31005952,31035402,+
PSORS1C1,psoriasis susceptibility 1 candidate 1,170679,6,31114800,31140092,+
CDSN,corneodesmosin,1041,6,31115087,31120446,-
PSORS1C2,psoriasis susceptibility 1 candidate 2,170680,6,31137534,31139066,-
CCHCR1,coiled-coil alpha-helical rod protein 1,54535,6,31142439,31158209,-
TCF19,transcription factor 19,6941,6,31158589,31164215,+
POU5F1,POU class 5 homeobox 1,5460,6,31164337,31170682,-
HLA-C,major histocompatibility complex-2C class I-2C C,3107,6,31268749,31272092,-
HLA-B,major histocompatibility complex-2C class I-2C B,3106,6,31353875,31357179,-
MICA,MHC class I polypeptide-related sequence A,100507436,6,31400711,31415315,+
MICB,MHC class I polypeptide-related sequence B,4277,6,31494918,31511124,+
MCCD1,mitochondrial coiled-coil domain 1,401250,6,31528962,31530232,+
DDX39B,DExD-box helicase 39B,7919,6,31530226,31542003,-
ATP6V1G2,ATPase H+ transporting V1 subunit G2,534,6,31544444,31546742,-
NFKBIL1,NFKB inhibitor like 1,4795,6,31546851,31558829,+
LTA,lymphotoxin alpha,4049,6,31560550,31574324,+
TNF,tumor necrosis factor,7124,6,31575565,31578336,+
LTB,lymphotoxin beta,4050,6,31580558,31582425,-
LST1,leukocyte specific transcript 1,7940,6,31586185,31588909,+
NCR3,natural cytotoxicity triggering receptor 3,259197,6,31588895,31593024,-
AIF1,allograft inflammatory factor 1,199,6,31615212,31617015,+
PRRC2A,proline rich coiled-coil 2A,7916,6,31620715,31637780,+
BAG6,BAG cochaperone 6,7917,6,31639028,31660900,-
APOM,apolipoprotein M,55937,6,31652404,31658210,+
GPANK1,G-patch domain and ankyrin repeats 1,7918,6,31661228,31666283,-
CSNK2B,casein kinase 2 beta,1460,6,31666080,31670067,+
LY6G5B,lymphocyte antigen 6 family member G5B,58496,6,31669976,31673546,+
LY6G5C,lymphocyte antigen 6 family member G5C,80741,6,31676684,31681067,-
ABHD16A,abhydrolase domain containing 16A-2C phospholipase,7920,6,31686955,31703324,-
LY6G6F-LY6G6D,LY6G6F-LY6G6D readthrough,110599563,6,31706866,31717919,+
LY6G6F,lymphocyte antigen 6 family member G6F,259215,6,31706866,31710679,+
LY6G6D,lymphocyte antigen 6 family member G6D,58530,6,31715348,31717919,+
LY6G6C,lymphocyte antigen 6 family member G6C,80740,6,31718648,31721746,-
MPIG6B,megakaryocyte and platelet inhibitory receptor G6b,80739,6,31720557,31726714,+
DDAH2,dimethylarginine dimethylaminohydrolase 2,23564,6,31727040,31730263,-
CLIC1,chloride intracellular channel 1,1192,6,31730581,31737318,-
MSH5,mutS homolog 5,4439,6,31740005,31762676,+
SAPCD1,suppressor APC domain containing 1,401251,6,31762656,31764850,+
VWA7,von Willebrand factor A domain containing 7,80737,6,31765590,31777328,-
VARS1,valyl-tRNA synthetase 1,7407,6,31777518,31795928,-
LSM2,LSM2 homolog-2C U6 small nuclear RNA and mRNA degradation associated,57819,6,31797396,31806966,-
HSPA1L,heat shock protein family A (Hsp70) member 1 like,3305,6,31809619,31815283,-
HSPA1A,heat shock protein family A (Hsp70) member 1A,3303,6,31815543,31817942,+
HSPA1B,heat shock protein family A (Hsp70) member 1B,3304,6,31827738,31830254,+
NEU1,neuraminidase 1,4758,6,31857659,31862821,-
SLC44A4,solute carrier family 44 member 4,80736,6,31863192,31878997,-
EHMT2,euchromatic histone lysine methyltransferase 2,10919,6,31879759,31897698,-
C2,complement C2,717,6,31897783,31945672,+
ZBTB12,zinc finger and BTB domain containing 12,221527,6,31899194,31902331,-
CFB,complement factor B,629,6,31946095,31952084,+
NELFE,negative elongation factor complex member E,7936,6,31952087,31959043,-
SKIV2L,Ski2 like RNA helicase,6499,6,31959157,31969852,+
DXO,decapping exoribonuclease,1797,6,31969811,31972290,-
STK19,serine/threonine kinase 19,8859,6,31971175,31981446,+
C4A,complement C4A (Rodgers blood group),720,6,31982057,32002681,+
C4B,complement C4B (Chido blood group),721,6,32014795,32035418,+
CYP21A2,cytochrome P450 family 21 subfamily A member 2,1589,6,32038415,32041644,+
TNXB,tenascin XB,7148,6,32041153,32109338,-
ATF6B,activating transcription factor 6 beta,1388,6,32115264,32128246,-
FKBPL,FKBP prolyl isomerase like,63943,6,32128707,32130288,-
PRRT1,proline rich transmembrane protein 1,80863,6,32148328,32153626,-
PPT2,palmitoyl-protein thioesterase 2,9374,6,32153528,32163675,+
EGFL8,EGF like domain multiple 8,80864,6,32164595,32168281,+
AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,10554,6,32168212,32178108,-
RNF5,ring finger protein 5,6048,6,32178405,32180793,+
AGER,advanced glycosylation end-product specific receptor,177,6,32180969,32184380,-
PBX2,PBX homeobox 2,5089,6,32184733,32190202,-
GPSM3,G protein signaling modulator 3,63940,6,32190766,32195523,-
NOTCH4,notch receptor 4,4855,6,32194843,32224067,-
TSBP1,testis expressed basic protein 1,10665,6,32290523,32371904,-
BTNL2,butyrophilin like 2,56244,6,32393339,32408879,-
HLA-DRA,major histocompatibility complex-2C class II-2C DR alpha,3122,6,32439887,32445046,+
HLA-DRB5,major histocompatibility complex-2C class II-2C DR beta 5,3127,6,32517343,32530316,-
HLA-DRB1,major histocompatibility complex-2C class II-2C DR beta 1,3123,6,32578775,32589848,-
HLA-DQA1,major histocompatibility complex-2C class II-2C DQ alpha 1,3117,6,32637406,32654846,+
HLA-DQB1,major histocompatibility complex-2C class II-2C DQ beta 1,3119,6,32659467,32666657,-
HLA-DQA2,major histocompatibility complex-2C class II-2C DQ alpha 2,3118,6,32741391,32747198,+
HLA-DQB2,major histocompatibility complex-2C class II-2C DQ beta 2,3120,6,32756094,32763553,-
HLA-DOB,major histocompatibility complex-2C class II-2C DO beta,3112,6,32812763,32817002,-
TAP2,transporter 2-2C ATP binding cassette subfamily B member,6891,6,32821831,32838739,-
PSMB8,proteasome 20S subunit beta 8,5696,6,32840717,32844679,-
TAP1,transporter 1-2C ATP binding cassette subfamily B member,6890,6,32845209,32853704,-
PSMB9,proteasome 20S subunit beta 9,5698,6,32854192,32859851,+
HLA-DMB,major histocompatibility complex-2C class II-2C DM beta,3109,6,32934636,32941028,-
HLA-DMA,major histocompatibility complex-2C class II-2C DM alpha,3108,6,32948618,32953097,-
BRD2,bromodomain containing 2,6046,6,32968594,32981505,+
HLA-DOA,major histocompatibility complex-2C class II-2C DO alpha,3111,6,33004182,33009591,-
HLA-DPA1,major histocompatibility complex-2C class II-2C DP alpha 1,3113,6,33064569,33080748,-
HLA-DPB1,major histocompatibility complex-2C class II-2C DP beta 1,3115,6,33075990,33089696,+
COL11A2,collagen type XI alpha 2 chain,1302,6,33162692,33193009,-
RXRB,retinoid X receptor beta,6257,6,33193588,33200991,-
SLC39A7,solute carrier family 39 member 7,7922,6,33200867,33204437,+
HSD17B8,hydroxysteroid 17-beta dehydrogenase 8,7923,6,33204655,33206831,+
RING1,ring finger protein 1,6015,6,33208500,33212716,+
VPS52,VPS52 subunit of GARP complex,6293,6,33250272,33271965,-
RPS18,ribosomal protein S18,6222,6,33272075,33276511,+
B3GALT4,beta-1-2C3-galactosyltransferase 4,8705,6,33277123,33278825,+
WDR46,WD repeat domain 46,9277,6,33278207,33289239,-
PFDN6,prefoldin subunit 6,10471,6,33289597,33290934,+
RGL2,ral guanine nucleotide dissociation stimulator like 2,5863,6,33291654,33299365,-
TAPBP,TAP binding protein,6892,6,33299694,33314254,-
ZBTB22,zinc finger and BTB domain containing 22,9278,6,33314418,33317942,-
DAXX,death domain associated protein,1616,6,33318558,33322959,-
SMIM40,small integral membrane protein 40,113523636,6,33323628,33329279,-
KIFC1,kinesin family member C1,3833,6,33391524,33410226,+
PHF1,PHD finger protein 1,5252,6,33410751,33416443,+
CUTA,cutA divalent cation tolerance homolog,51596,6,33416442,33418107,-
SYNGAP1,synaptic Ras GTPase activating protein 1,8831,6,33420065,33453689,+
ZBTB9,zinc finger and BTB domain containing 9,221504,6,33454576,33457544,+
BAK1,BCL2 antagonist/killer 1,578,6,33572552,33580296,-
ITPR3,inositol 1-2C4-2C5-trisphosphate receptor type 3,3710,6,33621322,33696562,+
UQCC2,ubiquinol-cytochrome c reductase complex assembly factor 2,84300,6,33696764,33711700,-
IP6K3,inositol hexakisphosphate kinase 3,117283,6,33721476,33755671,-
LEMD2,LEM domain nuclear envelope protein 2,221496,6,33771213,33794274,-
MLN,motilin,4295,6,33794673,33804003,-
GRM4,glutamate metabotropic receptor 4,2914,6,34018643,34155622,-
HMGA1,high mobility group AT-hook 1,3159,6,34236873,34246231,+
SMIM29,small integral membrane protein 29,221491,6,34246395,34249006,-
NUDT3,nudix hydrolase 3,11165,6,34279679,34392669,-
RPS10-NUDT3,RPS10-NUDT3 readthrough,100529239,6,34287194,34426069,-
RPS10,ribosomal protein S10,6204,6,34417454,34426069,-
PACSIN1,protein kinase C and casein kinase substrate in neurons 1,29993,6,34466076,34536262,+
SPDEF,SAM pointed domain containing ETS transcription factor,25803,6,34537800,34556329,-
ILRUN,inflammation and lipid regulator with UBA-like and NBR1-like domains,64771,6,34587288,34696767,-
SNRPC,small nuclear ribonucleoprotein polypeptide C,6631,6,34757505,34773857,+
UHRF1BP1,UHRF1 binding protein 1,54887,6,34792083,34877514,+
TAF11,TATA-box binding protein associated factor 11,6882,6,34877462,34888071,-
ANKS1A,ankyrin repeat and sterile alpha motif domain containing 1A,23294,6,34889255,35097992,+
TCP11,t-complex 11,6954,6,35118071,35141339,-
SCUBE3,signal peptide-2C CUB domain and EGF like domain containing 3,222663,6,35213956,35253079,+
ZNF76,zinc finger protein 76,7629,6,35259473,35295985,+
DEF6,DEF6 guanine nucleotide exchange factor,50619,6,35297818,35321771,+
PPARD,peroxisome proliferator activated receptor delta,5467,6,35342558,35428180,+
FANCE,FA complementation group E,2178,6,35452338,35467106,+
RPL10A,ribosomal protein L10a,4736,6,35468401,35470781,+
TEAD3,TEA domain transcription factor 3,7005,6,35473597,35497079,-
TULP1,TUB like protein 1,7287,6,35497874,35512896,-
FKBP5,FKBP prolyl isomerase 5,2289,6,35573590,35728583,-
ARMC12,armadillo repeat containing 12,221481,6,35733726,35749079,+
CLPSL2,colipase like 2,389383,6,35776598,35779552,+
CLPSL1,colipase like 1,340204,6,35781019,35794039,+
CLPS,colipase,1208,6,35794982,35797323,-
LHFPL5,LHFPL tetraspan subfamily member 5,222662,6,35805352,35824070,+
SRPK1,SRSF protein kinase 1,6732,6,35832966,35921098,-
SLC26A8,solute carrier family 26 member 8,116369,6,35943516,36024641,-
MAPK14,mitogen-activated protein kinase 14,1432,6,36027711,36122964,+
MAPK13,mitogen-activated protein kinase 13,5603,6,36130513,36144521,+
BRPF3,bromodomain and PHD finger containing 3,27154,6,36196744,36232790,+
PNPLA1,patatin like phospholipase domain containing 1,285848,6,36242523,36313955,+
BNIP5,BCL2 interacting protein 5,389384,6,36315757,36337015,-
ETV7,ETS variant transcription factor 7,51513,6,36354088,36387669,-
PXT1,peroxisomal testis enriched protein 1,222659,6,36390551,36442854,-
KCTD20,potassium channel tetramerization domain containing 20,222658,6,36442772,36491143,+
STK38,serine/threonine kinase 38,11329,6,36493889,36547479,-
SRSF3,serine and arginine rich splicing factor 3,6428,6,36594362,36605600,+
CDKN1A,cyclin dependent kinase inhibitor 1A,1026,6,36676463,36687332,+
RAB44,RAB44-2C member RAS oncogene family,401258,6,36697808,36733184,+
CPNE5,copine 5,57699,6,36740773,36839998,-
PPIL1,peptidylprolyl isomerase like 1,51645,6,36854829,36874803,-
PI16,peptidase inhibitor 16,221476,6,36948296,36964837,+
MTCH1,mitochondrial carrier 1,23787,6,36968135,36987171,-
FGD2,FYVE-2C RhoGEF and PH domain containing 2,221472,6,37005655,37029072,+
PIM1,Pim-1 proto-oncogene-2C serine/threonine kinase,5292,6,37170152,37175428,+
TMEM217,transmembrane protein 217,221468,6,37212181,37258144,-
TBC1D22B,TBC1 domain family member 22B,55633,6,37257772,37332970,+
RNF8,ring finger protein 8,9025,6,37353983,37394734,+
CMTR1,cap methyltransferase 1,23070,6,37433214,37482844,+
CCDC167,coiled-coil domain containing 167,154467,6,37482938,37499893,-
MDGA1,MAM domain containing glycosylphosphatidylinositol anchor 1,266727,6,37630679,37697883,-
ZFAND3,zinc finger AN1-type containing 3,60685,6,37819727,38154624,+
BTBD9,BTB domain containing 9,114781,6,38168451,38640541,-
GLO1,glyoxalase I,2739,6,38675925,38703145,-
DNAH8,dynein axonemal heavy chain 8,1769,6,38715311,39030798,+
GLP1R,glucagon like peptide 1 receptor,2740,6,39048781,39091303,+
SAYSD1,SAYSVFN motif domain containing 1,55776,6,39104063,39115186,-
KCNK5,potassium two pore domain channel subfamily K member 5,8645,6,39188971,39229475,-
KCNK17,potassium two pore domain channel subfamily K member 17,89822,6,39299001,39314419,-
KCNK16,potassium two pore domain channel subfamily K member 16,83795,6,39314566,39322968,-
KIF6,kinesin family member 6,221458,6,39329990,39725408,-
DAAM2,dishevelled associated activator of morphogenesis 2,23500,6,39792366,39904870,+
MOCS1,molybdenum cofactor synthesis 1,4337,6,39904170,39934462,-
LRFN2,leucine rich repeat and fibronectin type III domain containing 2,57497,6,40391589,40587364,-
UNC5CL,unc-5 family C-terminal like,222643,6,41026895,41039221,-
TSPO2,translocator protein 2,222642,6,41041344,41044337,+
APOBEC2,apolipoprotein B mRNA editing enzyme catalytic subunit 2,10930,6,41053202,41064891,+
OARD1,O-acyl-ADP-ribose deacylase 1,221443,6,41064772,41097787,-
NFYA,nuclear transcription factor Y subunit alpha,4800,6,41072974,41102403,+
